"","Dependent: complications_bi"," ","0","1","OR (univariable)","OR (multivariable)"
"1","age.group","<=40","520 (94.4)","31 (5.6)","-","-"
"2","",">=65","639 (95.5)","30 (4.5)","0.79 (0.47-1.32, p=0.363)","0.81 (0.47-1.39, p=0.451)"
"3","","41-64","655 (95.1)","34 (4.9)","0.87 (0.53-1.44, p=0.587)","0.92 (0.55-1.55, p=0.764)"
"5","gender","Male","828 (95.9)","35 (4.1)","-","-"
"4","","Female","986 (94.3)","60 (5.7)","1.44 (0.94-2.23, p=0.094)","1.34 (0.87-2.10, p=0.193)"
"10","preercp","Yes","836 (96.2)","33 (3.8)","-","-"
"8","","No","974 (94.1)","61 (5.9)","1.59 (1.04-2.47, p=0.037)","1.23 (0.47-3.79, p=0.700)"
"9","","Unknown","4 (80.0)","1 (20.0)","6.33 (0.32-44.30, p=0.103)","3.98 (0.19-32.20, p=0.249)"
"7","pancannulation","Yes","361 (91.9)","32 (8.1)","-","-"
"6","","No","1453 (95.8)","63 (4.2)","0.49 (0.32-0.77, p=0.001)","0.83 (0.45-1.59, p=0.556)"
"16","Techniques","Precut papillotomy","64 (91.4)","6 (8.6)","-","-"
"14","","Double wire cannulation","182 (89.2)","22 (10.8)","1.29 (0.53-3.63, p=0.599)","1.01 (0.38-3.04, p=0.979)"
"13","","Cannulation without sphincterotomy","86 (95.6)","4 (4.4)","0.50 (0.12-1.81, p=0.293)","0.49 (0.12-1.83, p=0.294)"
"17","","Previous sphincterotomy","762 (96.3)","29 (3.7)","0.41 (0.17-1.11, p=0.054)","0.48 (0.13-2.05, p=0.289)"
"11","","Cannulation with altered anatomy/obstruction","20 (90.9)","2 (9.1)","1.07 (0.15-5.06, p=0.940)","1.20 (0.15-6.44, p=0.839)"
"18","","Sphincterotomy","655 (95.8)","29 (4.2)","0.47 (0.20-1.30, p=0.108)","0.44 (0.18-1.24, p=0.089)"
"15","","Failure to attempt cannulation","30 (93.8)","2 (6.2)","0.71 (0.10-3.30, p=0.687)","0.74 (0.10-3.48, p=0.724)"
"12","","Cannulation with pancreatic papillotomy","15 (93.8)","1 (6.2)","0.71 (0.04-4.61, p=0.760)","0.59 (0.03-3.99, p=0.639)"
