"","Dependent: complications_bi"," ","0","1","OR (univariable)","OR (multivariable)"
"1","age.group","<=40","520 (94.4)","31 (5.6)","-","-"
"2","",">=65","639 (95.5)","30 (4.5)","0.79 (0.47-1.32, p=0.363)","0.81 (0.47-1.39, p=0.451)"
"3","","41-64","655 (95.1)","34 (4.9)","0.87 (0.53-1.44, p=0.587)","0.92 (0.55-1.55, p=0.764)"
"5","gender","Male","828 (95.9)","35 (4.1)","-","-"
"4","","Female","986 (94.3)","60 (5.7)","1.44 (0.94-2.23, p=0.094)","1.34 (0.87-2.10, p=0.193)"
"10","preercp","Yes","836 (96.2)","33 (3.8)","-","-"
"8","","No","974 (94.1)","61 (5.9)","1.59 (1.04-2.47, p=0.037)","1.23 (0.47-3.79, p=0.700)"
"9","","Unknown","4 (80.0)","1 (20.0)","6.33 (0.32-44.30, p=0.103)","3.98 (0.19-32.20, p=0.249)"
"7","pancannulation","Yes","361 (91.9)","32 (8.1)","-","-"
"6","","No","1453 (95.8)","63 (4.2)","0.49 (0.32-0.77, p=0.001)","0.83 (0.45-1.59, p=0.556)"
"11","technique","Cannulation with altered anatomy/obstruction","20 (90.9)","2 (9.1)","-","-"
"12","","Cannulation with pancreatic papillotomy","15 (93.8)","1 (6.2)","0.67 (0.03-7.60, p=0.750)","0.49 (0.02-6.07, p=0.586)"
"13","","Cannulation without sphincterotomy","86 (95.6)","4 (4.4)","0.47 (0.08-3.52, p=0.396)","0.41 (0.07-3.23, p=0.336)"
"14","","Double wire cannulation","182 (89.2)","22 (10.8)","1.21 (0.32-7.89, p=0.807)","0.84 (0.18-6.24, p=0.844)"
"15","","Failure to attempt cannulation","30 (93.8)","2 (6.2)","0.67 (0.07-5.93, p=0.697)","0.62 (0.07-5.74, p=0.650)"
"16","","Precut papillotomy","64 (91.4)","6 (8.6)","0.94 (0.20-6.74, p=0.940)","0.83 (0.16-6.46, p=0.839)"
"17","","Previous sphincterotomy","762 (96.3)","29 (3.7)","0.38 (0.10-2.45, p=0.207)","0.40 (0.10-2.70, p=0.250)"
"18","","Sphincterotomy","655 (95.8)","29 (4.2)","0.44 (0.12-2.86, p=0.287)","0.37 (0.09-2.56, p=0.224)"
